"item","value"
"Source","Reactome via reactome.db 1.95.0"
"Pathways used","1765"
"Neighbours per gene (k)","15"
"Zero-similarity edges","dropped"
"Minimum group size","5"
"Chosen resolution","1.6"
"Groups","20"
"Unassigned genes","3"
"Leiden seed","10"
