"grouping","total_elbo_gain","inclusion_term_gain","beta_term_gain","prior_total_gain","entropy_gain","remainder_gain"
"fm",81.5,165.4,11,176.4,-56.9,-38
"curated",20.4,57.4,5.3,62.6,-23.6,-18.6
