"item","value"
"Subjects","73"
"Genes","300"
"Observations","363"
"Q","4"
"L","2"
"K","5"
"Iterations to convergence","126"
"Final ELBO","-158248.2"
"Runtime (minutes)","5.7"
"Active factors (factor PPI > 0.5)","3"
"Genes with PPI > 0.5 on any factor","259"
"Gap amplitude ratio (median)","0.91"
"Gap amplitude ratio (95th percentile)","1.32"
"Temporal basis gate","passed"
