"item","value"
"Checkpoint","wanglab/scGPT-human (whole-human, CellxGene census May 2023)"
"Embedding dimension","512"
"Neighbours per gene (k)","15"
"Resolution grid","0.2 to 3.0 by 0.1"
"Target group count","20"
"Chosen resolution","2.7"
"Groups","20"
"Smallest group","16"
"Largest group","91"
"Leiden seed","10"
