"group","n_genes"
"FM_01",91
"FM_02",81
"FM_03",73
"FM_04",68
"FM_05",68
"FM_06",66
"FM_07",65
"FM_08",63
"FM_09",49
"FM_10",45
"FM_11",42
"FM_12",41
"FM_13",40
"FM_14",39
"FM_15",39
"FM_16",33
"FM_17",32
"FM_18",25
"FM_19",24
"FM_20",16
