"grouping","informed_loading_cor","random_mean","random_sd","nulls_below_informed","nulls","informed_jaccard","random_jaccard_mean"
"fm",0.83059,0.84073,0.00471,0,5,0.69663,0.70025
"curated",0.84006,0.8458,0.00222,0,5,0.70059,0.70026
