"item","value"
"R version","R version 4.5.2 (2025-10-31)"
"EmbedSYNC commit","ff909ff856b95c564e3a00a142f30c4f3a55e536"
"bayesSYNC upstream commit","de326142f15c8a087f544c84f18d83511aae50f1"
"bayesSYNC version (reference)","0.1.0"
"bayesSYNCfm version","0.1.0"
"Date","2026-09-07"
