"row_id","symbol","baseline_mean","baseline_between_subject_sd"
"gene102723750","CLK3-AS1",4.03,0.819
"gene100507195","LINC02384",2.054,0.816
"gene23762","OSBP2",6.07,0.812
"gene6622","SNCA",8.064,0.809
"gene3049","HBQ1",3.46,0.807
"gene28631","TRBJ1-5",2.157,0.806
"gene23127","COLGALT2",2.171,0.805
"gene28937","IGKV1-17",2.15,0.803
"gene170482","CLEC4C",2.274,0.8
"gene10158","PDZK1IP1",5.744,0.798
"gene134549","SHROOM1",2.302,0.797
"gene51191","HERC5",3.754,0.797
"gene439996","IFIT1B",3.828,0.792
"gene28817","IGLV2-8",3.44,0.791
"gene23428","SLC7A8",2.221,0.791
"gene10561","IFI44",3.804,0.789
"gene3512","JCHAIN",5.264,0.788
"gene5730","PTGDS",5.249,0.788
"gene9717","SEC14L5",2.229,0.782
"gene4940","OAS3",5.901,0.782
"gene28617","TRBV4-1",2.079,0.776
"gene4058","LTK",3.588,0.773
"gene51629","SLC25A39",10.231,0.772
"gene3136","HLA-H",6.217,0.771
"gene8115","TCL1A",5.337,0.771
"gene28813","IGLV2-23",2.712,0.768
"gene118433","RPL23AP7",2.407,0.766
"gene348094","ANKDD1A",2.318,0.764
"gene2948","GSTM4",4.336,0.763
"gene4635","MYL4",4.876,0.762
"gene3075","CFH",2.314,0.755
"gene28820","IGLV1-51",3.475,0.754
"gene6846","XCL2",3.501,0.753
"gene28822","IGLV1-47",2.299,0.752
"gene3674","ITGA2B",6.61,0.751
"gene79937","CNTNAP3",2.214,0.75
"gene90853","SPOCD1",2.343,0.749
"gene28434","IGHV3-33",2.501,0.747
"gene94240","EPSTI1",4.21,0.747
"gene284422","SMIM24",2.012,0.746
"gene3792","KEL",2.219,0.746
"gene6029","RN7SL1",6.969,0.746
"gene51560","RAB6B",2.298,0.746
"gene84680","ACCS",4.049,0.745
"gene28622","TRBJ2-7",3.527,0.743
"gene3437","IFIT3",5.311,0.74
"gene28816","IGLV2-11",2.314,0.739
"gene23336","SYNM",2.691,0.737
"gene2766","GMPR",5.755,0.736
"gene3537","IGLC1",5.122,0.736
"gene79971","WLS",4.237,0.736
"gene83483","PLVAP",3.761,0.735
"gene7145","TNS1",6.923,0.732
"gene642846","LOC642846",3.066,0.732
"gene56344","CABP5",2.11,0.731
"gene79815","NIPAL2",3.59,0.73
"gene84830","ADTRP",3.088,0.73
"gene28825","IGLV1-40",2.555,0.73
"gene28823","IGLV1-44",2.661,0.729
"gene5097","PCDH1",2.834,0.728
"gene79007","DBNDD1",2.116,0.728
"gene28908","IGKV4-1",3.63,0.726
"gene1116","CHI3L1",6.237,0.725
"gene25959","KANK2",2.984,0.724
"gene100288778","WASH8P",4.202,0.723
"gene83888","FGFBP2",7.305,0.72
"gene619207","SCART1",3.837,0.72
"gene598","BCL2L1",9.198,0.72
"gene28392","IGHV4-59",2.763,0.719
"gene28833","IGLJ1",3.58,0.718
"gene59283","CACNG8",3.154,0.715
"gene3576","CXCL8",2.894,0.712
"gene28809","IGLV3-1",3.206,0.711
"gene2039","DMTN",9.188,0.709
"gene378706","RN7SL2",7.014,0.707
"gene51148","CERCAM",2.596,0.706
"gene116151","FAM210B",7.925,0.706
"gene100423062","IGLL5",5.327,0.706
"gene64847","SPATA20",4.226,0.704
"gene57801","HES4",2.017,0.703
"gene1397","CRIP2",3.758,0.702
"gene28299","IGKV1-5",4.413,0.701
"gene80781","COL18A1",6.341,0.699
"gene2324","FLT4",3.222,0.698
"gene7057","THBS1",5.662,0.698
